2013	Ruder-Club Thalwil	40
2013	CA Vesenaz	30
2013	Ruder-Club Schaffhausen	25
2013	Polytechniker RC Zürich	23
2013	Ruder-Club Zürich	19
2013	Rowing Club Lausanne	18
2013	Seeclub Sempach	18
2013	Seeclub Arbon	17
2013	CA Vevey	17
2013	Ruder-Club Cham	17
2013	Società Canottieri Locarno	15
2013	FRC Morges	15
2013	Lausanne Sports	15
2013	RC Kaufleuten Zürich	11
2013	Solothurner RC	10
2013	RC Rapperswil-Jona	7
2013	Ruder-Club Aarburg	6
2013	Seeclub Sursee	6
2013	RC Hallwilersee	4
2013	Aviron Romand Zürich	4
2013	CC Lugano	3
2013	RC Sarnen	1
2013	RC Kreuzlingen	1
2014	Seeclub Zug	149
2014	Seeclub Zurich	143
2014	Grasshopper Club Zurich	127
2014	Belvoir RC Zurich	115
2014	Ruder Club Zurich	56
2014	Ruder-Club Blauweiss Basel	53
2014	Seeclub Luzern	48
2014	Basler Ruder-Club	44
2014	FRC Morges	36
2014	RC Cham	29
2014	Club d’Aviron Vevey	26
2014	Ruderclub ,Reuss* Luzern	24
2014	Club d’Aviron Vesenaz	22
2014	Ruder Club Schaffhausen	21
2014	SC Locarno	17
2014	Polytechniker RC Zurich	16
2014	Rowing Club Lausanne	16
2014	Ruder Club Baden	11
2014	UCL	10
2014	RC Thalwil	10
2014	Rowing Club Bern	9
2014	Nordiska Zurich	8
2014	Solothurner Ruder Club	8
2014	Seeclub Sempach	8
2014	Lausanne Sports Aviron	7
2014	Aviron Romand Zurich	5
2014	RC Hallwilersee	4
2014	Seeclub Biel	3
2014	Seeclub Sursee	2
2014	Seeclub Kiisnacht	2
2014	RC Kaufleuten Zurich	2
2014	Ruder Club Aarburg	1
2014	Seeclub Arbon	1
2015	Seeclub Ziirich	192
2015	Seeclub Zug	154
2015	Basler RC	125
2015	Belvoir RC Zurich	98
2015	Ruder-Club Baden	95
2015	FRC Morges	79
2015	Ruder-Club Zurich	67
2015	RC Blauweiss Basel	62
2015	Grasshopper Club Zurich	56
2015	Ruderclub Reuss Luzern	54
2015	Seeclub Luzern	52
2015	RC Lausanne	46
2015	Seeclub Biel	37
2015	RC Kaufleuten Zurich	17
2015	Polytechniker RC Zurich	15
2015	RC Schaffhausen	12
2015	Seeclub Sempach	11
2015	Solothurner RC	10
2015	Ruderclub Hallwilersee	9
2015	Aviron Romand Zurich	8
2015	RC Rapperswil—Jona	7
2015	SC Locarno	6
2015	Lausanne Sports	6
2015	CA Vevey	6
2015	Seeclub Kiisnacht	5
2015	Ruderclub Erlenbach	5
2015	Ruderclub Cham	4
2015	Seeclub Sursee	4
2015	Seeclub Arbon	3
2015	Ruderclub Sarnen	1
2015	Ruderclub Aarburg	1
2015	CC Lugano	1
2015	RC Greifensee	1
2016	Seeclub Zug	138
2016	Seeclub Zurich	114
2016	Grasshopper Club Zurich	81
2016	Belvoir RC Zurich	77
2016	Basler RC	71
2016	Seeclub Luzern	60
2016	Ruder Club Baden	60
2016	Forward RC Morges	49
2016	RC Blauweiss Basel	38
2016	Ruderclub Zurich	30
2016	Rowing Club Bern	22
2016	RC Schaffhausen	21
2016	Seeclub Stansstad	20
2016	RC Reuss Luzern	17
2016	Club Canottieri Lugano	16
2016	Seeclub Richterswil	15
2016	Seeclub Biel	11
2016	RC Cham	9
2016	RC Hallwilersee	9
2016	Aviron Romand Zurich	9
2016	Seeclub Sursee	8
2016	RC Erlenbach	5
2016	Lausanne Sports	5
2016	Seeclub Sempach	3
2016	Solothurner Ruder Club	3
2016	Société d’Aviron Fribourg	3
2016	Seeclub Arbon	3
2016	Seeclub Kusnacht	3
2016	RC Sarnen	1
2016	Polytechniker RC Zurich	1
